title,deal_price
SD GUNDAM G GENERATION CROSS RAYS Expansion Pack (English Ver.),"Rp 56,000"
"MOBILE SUIT GUNDAM EXTREME VS. MAXIBOOST ON (English, Japanese)","Rp 246,120"
"Sniper Ghost Warrior Contracts 2 Ultimate Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 279,600"
"Grand Theft Auto: The Trilogy – The Definitive Edition (PS5 & PS4) (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 414,500"
Ghost Recon Breakpoint - Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 187,250"
"RESIDENT EVIL 7 biohazard (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 138,500"
"RESIDENT EVIL 7 biohazard Gold Edition (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 222,400"
RESIDENT EVIL 7 Banned Footage Vol.1 (Add-On),"Rp 67,000"
RESIDENT EVIL 7 Banned Footage Vol.2 (Add-On),"Rp 101,000"
RESIDENT EVIL 7 End of Zoe (English/Chinese/Korean/Japanese Ver.),"Rp 101,000"
RESIDENT EVIL 7 biohazard Season Pass (Add-On),"Rp 207,500"
"Sid Meier's Civilization VI (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 135,000"
Sid Meier’s Civilization® VI Anthology Upgrade Bundle (Add-On),"Rp 349,500"
"DEATHLOOP (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 331,600"
Shadow of the Tomb Raider: Definitive Edition (Game),"Rp 184,470"
"The Crew 2 Special Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 149,800"
Worms™ Battlegrounds (English),"Rp 21,600"
inFAMOUS First Light™ full game (English/Chinese/Korean Ver.),"Rp 85,000"
Dishonored®: Death of the Outsider™ (English/Chinese Ver.),"Rp 92,500"
"Late Shift (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 55,000"
Dishonored®: Definitive Edition (English),"Rp 65,000"
Disgaea 5: Alliance of Vengeance (English Ver.),"Rp 135,600"
DEAD OR SCHOOL (English/Chinese/Japanese Ver.),"Rp 156,400"
Injustice: Gods Among Us Ultimate Edition full game (English Ver.),"Rp 59,540"
GOD WARS Future Past (Game),"Rp 92,850"
GOD WARS Future Past (Chinese Ver.),"Rp 82,350"
Generation Zero® (English),"Rp 129,300"
"Focus Indies Bundle - Curse of the Dead Gods + Shady Part of Me + Aeon Must Die! (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 289,500"
"FMV Comedy Bundle (Simplified Chinese, English, Korean)","Rp 279,200"
"Tearaway™ Unfolded (Simplified Chinese, English, Korean)","Rp 135,600"
"Pretty Girls Mahjong Solitaire Green + Blue Bundle (PS4 & PS5) (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 69,500"
"Battle Chasers: Nightwar (Simplified Chinese, English, Korean, Japanese)","Rp 128,700"
Hitman HD Enhanced Collection (English Ver.),"Rp 121,350"
Motorbike Racing Bundle (English),"Rp 104,850"
STRIDER full game (English/Japanese Ver.),"Rp 51,300"
"Discovery Tour: Viking Age PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 173,400"
Worms Armageddon [PS1 Emulation] (English),"Rp 97,300"
Worms World Party [PS1 Emulation] (English),"Rp 48,300"
Gauntlet: Slayer Edition (English Ver.),"Rp 54,000"
Smoots Summer Games (English/Japanese Ver.),"Rp 41,700"
Assassin's Creed Odyssey - Season Pass (English/Chinese/Korean Ver.),"Rp 229,500"
STREET FIGHTER V + Shinkiro Theme (English/Japanese Ver.),"Rp 64,000"
STREET FIGHTER V + Shinkiro Theme (Game),"Rp 64,000"
Street Fighter V: Champion Edition (English/Japanese Ver.),"Rp 203,000"
Street Fighter V: Champion Edition (English/Chinese/Korean/Japanese Ver.),"Rp 203,000"
Street Fighter V: Champion Edition + Season 5 Premium Pass Bundle (Game),"Rp 408,480"
Street Fighter V: Champion Edition + Season 5 Premium Pass Bundle (Game),"Rp 408,480"
Street Fighter V - Champion Edition Upgrade Kit (English/Japanese Ver.),"Rp 166,500"
Street Fighter V - Champion Edition Upgrade Kit (English/Chinese/Korean/Japanese Ver.),"Rp 166,500"
Street Fighter V - Season 5 Character Pass (Add-On),"Rp 162,000"
Street Fighter V - Season 5 Character Pass (Add-On),"Rp 162,000"
Street Fighter V - Season 5 Premium Pass (Add-On),"Rp 284,500"
Street Fighter V - Season 5 Premium Pass (Add-On),"Rp 284,500"
Street Fighter V: Champion Edition Upgrade Kit + Season 5 Premium Pass Bundle (Add-On),"Rp 352,500"
Street Fighter V: Champion Edition Upgrade Kit + Season 5 Premium Pass Bundle (Add-On),"Rp 352,500"
DRAGON BALL Z: KAKAROT (English),"Rp 224,700"
DRAGON BALL Z: KAKAROT Season Pass (Add-On),"Rp 174,500"
"F1® Manager 2022 (Simplified Chinese, English, Japanese)","Rp 623,200"
Madden NFL 23 PS5™ (English),"Rp 655,850"
Madden NFL 23 PS4™ (English),"Rp 551,850"
"UFC® 4 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 161,310"
